"waypoint"; "lat"; "lon"
"Fivetown london"; 60,24205060; 26,48899623
"Sparta"; 59,73875340; 21,88692122
"Alfred"; 59,87324545; 22,16415454
"Garpen"; 59,83674888; 22,75066374
"Gustaf Adolf"; 60,05061567; 24,92621256
"Aleksander II"; 60,12590114; 25,25798581
"Coolaroo kone"; 60,01749862; 24,87518785
"Lauri"; 60,14640738; 24,84796747
"Tiilihylky"; 60,07706832; 25,01174947
"Coolaroo keula"; 60,01783644; 24,87684632
"Emilie"; 60,08894959; 24,98811640
"Chrysant"; 60,20780018; 25,61752925
"Coolaroo pera"; 60,01784996; 24,87324998
"Klasu"; 59,82798429; 24,34743684
"Algo"; 59,95704975; 24,37042995
"Hindenburg"; 60,09875078; 21,69580166
"Uunihylky"; 59,94935046; 24,41908414
"Keulakuva"; 59,86146754; 22,76933043
"056"; 59,94714325; 24,48415168
"055"; 59,92859050; 24,40231026
"058"; 60,01729593; 24,87544924
"057"; 60,05166860; 24,98043701
"059"; 59,98632768; 24,62416542
"DIANA POIJU"; 60,19002977; 25,39296107
"060"; 59,80227511; 24,06761668
"020"; 59,82905790; 24,49576992
"031"; 60,08687304; 25,39980222
"029"; 60,08684158; 25,39979320
"017"; 59,81956630; 23,66586360
"JEMINNA"; 59,78608170; 23,57725313
"018"; 59,81983364; 23,66633230
"019"; 59,85128350; 24,44278030
"044"; 59,76880037; 21,40135279
"HELSINGFORS"; 59,74506650; 22,39043527
"JUKKA"; 59,74285024; 22,63716735
"049"; 59,92386600; 24,40137286
